name,slug,region,carbon_dioxide_emissions,electricity_installed_generating_capacity,energy_consumption_per_capita,revenue_from_coal,revenue_from_forest_resources
Nicaragua,nicaragua,Central America and the Caribbean,4987000,1841000,12903000,0,1.26
New Caledonia,new-caledonia,Australia and Oceania,4806000,1069000,NA,NA,NA
Guinea,guinea,Africa,4502000,1191000,4891000,0,4.81
Papua New Guinea,papua-new-guinea,East and Southeast Asia,4375000,1263000,6565000,0,2.08
Mauritania,mauritania,Africa,4322000,675000,13306000,0,1.3
Madagascar,madagascar,Africa,4054000,663000,1887000,0,4.34
Gaza Strip,gaza-strip,Middle East,3942000,352000,15201000,NA,0
West Bank,west-bank,Middle East,3942000,352000,15201000,NA,0
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa,3860000,2904000,970000,0,8.72
Albania,albania,Europe,3856000,2635000,30306000,0.03,0.18
Equatorial Guinea,equatorial-guinea,Africa,3806000,349000,41487000,0,1.52
Namibia,namibia,Africa,3610000,646000,24695000,0,0.47
Iceland,iceland,Europe,3579000,3006000,NA,0,0
Gabon,gabon,Africa,3470000,784000,23955000,0,2.6
"Bahamas, The",bahamas-the,Central America and the Caribbean,3431000,578000,115318000,0,0.01
Haiti,haiti,Central America and the Caribbean,2805000,471000,3403000,0,0.68
Montenegro,montenegro,Europe,2566000,1066000,59174000,0.12,0.43
"Congo, Republic of the",congo-republic-of-the,Africa,2542000,842000,7238000,0,3.17
Guyana,guyana,South America,2499000,385000,42797000,0,4.56
Niger,niger,Africa,2454000,359000,1405000,0.03,4.41
Togo,togo,Africa,2306000,309000,4077000,0,3.96
Virgin Islands,virgin-islands,Central America and the Caribbean,2272000,326000,NA,NA,0
Maldives,maldives,South Asia,2247000,566000,56264000,0,0
Suriname,suriname,South America,2190000,537000,55101000,0,2.36
Chad,chad,Africa,2064000,90000,1649000,0,3.81
South Sudan,south-sudan,Africa,1970000,134000,2627000,NA,2.65
Guam,guam,Australia and Oceania,1830000,525000,150555000,0,0
Macau,macau,East and Southeast Asia,1746000,437000,69034000,0,0
Malawi,malawi,Africa,1617000,758000,1331000,0.03,6.19
Rwanda,rwanda,Africa,1442000,273000,1659000,0,3.75
Sierra Leone,sierra-leone,Africa,1352000,138000,2229000,0,6.92
Barbados,barbados,Central America and the Caribbean,1347000,340000,68271000,0,0.01
Fiji,fiji,Australia and Oceania,1248000,413000,21041000,0,0.59
Wake Island,wake-island,Australia and Oceania,1221000,NA,NA,NA,NA
Aruba,aruba,Central America and the Caribbean,1214000,304000,161715000,NA,0
Bhutan,bhutan,South Asia,1206000,2342000,60788000,0,1.89
Eswatini,eswatini,Africa,1151000,287000,17642000,0.1,2.25
French Polynesia,french-polynesia,Australia and Oceania,929000,280000,NA,NA,NA
Seychelles,seychelles,Africa,867000,158000,111200000,0,0.09
Faroe Islands,faroe-islands,Europe,825000,178000,NA,NA,0
Somalia,somalia,Africa,815000,131000,661000,NA,NA
Burundi,burundi,Africa,800000,114000,961000,0,10.31
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean,769000,97000,114469000,0,0
Lesotho,lesotho,Africa,752000,75000,5975000,0,3.34
Cayman Islands,cayman-islands,Central America and the Caribbean,718000,175000,144845000,0,0
Belize,belize,Central America and the Caribbean,690000,217000,30710000,0,0.31
Cabo Verde,cabo-verde,Africa,681000,204000,16298000,0,0.38
Eritrea,eritrea,Africa,671000,219000,2530000,NA,NA
Djibouti,djibouti,Africa,660000,150000,9559000,0,0.26
Timor-Leste,timor-leste,East and Southeast Asia,637000,283000,6497000,0,0.13
Liberia,liberia,Africa,620000,197000,1971000,0,13.27
Saint Lucia,saint-lucia,Central America and the Caribbean,617000,92000,48251000,0,0.01
Bermuda,bermuda,North America,582000,173000,124882000,NA,NA
Greenland,greenland,North America,562000,188000,NA,0,0
"Gambia, The",gambia-the,Africa,524000,140000,2651000,0,2.47
Jersey,jersey,Europe,450000,NA,NA,NA,NA
American Samoa,american-samoa,Australia and Oceania,391000,48000,89105000,0,0
Comoros,comoros,Africa,372000,4036000,6223000,0,1.39
Grenada,grenada,Central America and the Caribbean,364000,56000,40666000,0,0
Guinea-Bissau,guinea-bissau,Africa,362000,28000,2372000,0,9.24
Solomon Islands,solomon-islands,Australia and Oceania,322000,37000,6172000,0,20.27
Central African Republic,central-african-republic,Africa,316000,38000,881000,0,8.99
Samoa,samoa,Australia and Oceania,311000,53000,20949000,0,0.27
United States Pacific Island Wildlife Refuges,united-states-pacific-island-wildlife-refuges,Australia and Oceania,297000,NA,NA,NA,NA
Marshall Islands,marshall-islands,Australia and Oceania,293700,NA,NA,NA,0
Saint Kitts and Nevis,saint-kitts-and-nevis,Central America and the Caribbean,272000,72000,77743000,0,0
Vanuatu,vanuatu,Australia and Oceania,248000,38000,10775000,0,0.54
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,Central America and the Caribbean,246000,54000,35826000,0,0.02
Turks and Caicos Islands,turks-and-caicos-islands,Central America and the Caribbean,244000,91000,NA,0,0
British Virgin Islands,british-virgin-islands,Central America and the Caribbean,191000,47000,87470000,NA,NA
Dominica,dominica,Central America and the Caribbean,175000,42000,35086000,0,0.03
"Micronesia, Federated States of",micronesia-federated-states-of,Australia and Oceania,166000,NA,NA,NA,0.02
Sao Tome and Principe,sao-tome-and-principe,Africa,162000,30000,9873000,0,1.9
Tonga,tonga,Australia and Oceania,131000,33000,17949000,0,0.03
Cook Islands,cook-islands,Australia and Oceania,87000,17000,NA,NA,NA
Kiribati,kiribati,Australia and Oceania,78000,11000,8403000,0,0.04
Nauru,nauru,Australia and Oceania,70000,19000,NA,NA,0
Saint Pierre and Miquelon,saint-pierre-and-miquelon,North America,59000,26000,NA,NA,NA
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,South America,38000,10000,NA,NA,NA
Montserrat,montserrat,Central America and the Caribbean,26000,6000,NA,NA,NA
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,Africa,13000,8000,NA,NA,NA
Antarctica,antarctica,Antarctica,12000,NA,NA,NA,NA
Niue,niue,Australia and Oceania,8000,3000,NA,NA,NA
Northern Mariana Islands,northern-mariana-islands,Australia and Oceania,0,NA,NA,NA,0
Curacao,curacao,Central America and the Caribbean,NA,NA,NA,0,0
Tuvalu,tuvalu,Australia and Oceania,NA,NA,NA,NA,0
Palau,palau,Australia and Oceania,NA,NA,NA,NA,0
San Marino,san-marino,Europe,NA,NA,NA,NA,0
Isle of Man,isle-of-man,Europe,NA,NA,NA,NA,0
Liechtenstein,liechtenstein,Europe,NA,NA,NA,NA,0
Andorra,andorra,Europe,NA,NA,NA,NA,0
Monaco,monaco,Europe,NA,NA,NA,NA,0
