name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa,0.56,39.2,23.1,7.6,2.7,57.4,62.6,547,16.9,-0.6,6.7,115403027,3.11,12.8,5.49
Chad,chad,Africa,0.55,39.2,18.9,9.0,2.9,62.5,60.0,1063,16.7,-0.1,6.1,19093595,3.01,8.3,5.24
Morocco,morocco,Africa,0.51,16.8,2.8,6.6,6.8,18.3,74.2,72,30.6,-1.7,26.1,37387585,0.84,14.5,2.25
Oman,oman,Middle East,0.47,21.1,11.2,3.2,5.4,13.9,77.4,17,27.3,-0.5,27.0,3901992,1.75,8.0,2.64
Kiribati,kiribati,Australia and Oceania,0.43,19.7,6.9,6.9,12.4,31.5,68.5,76,27.3,-2.8,46.0,116545,1.0,40.6,2.15
Timor-Leste,timor-leste,East and Southeast Asia,0.41,29.7,31.9,5.5,4.2,32.2,70.5,204,20.6,-3.8,3.8,1506909,2.04,39.2,3.98
Nepal,nepal,South Asia,0.36,17.0,18.7,5.6,4.2,24.0,73.0,174,27.6,-4.4,4.1,31122387,0.7,30.4,1.85
Guinea,guinea,Africa,0.33,35.3,16.3,7.8,2.2,47.0,64.6,553,19.4,0.0,7.7,13986179,2.74,,4.78
Tonga,tonga,Australia and Oceania,0.31,19.7,0.8,5.0,6.6,11.8,78.0,126,25.9,-18.1,48.2,104889,-0.34,31.0,2.65
Senegal,senegal,Africa,0.25,30.2,14.4,4.9,5.5,31.1,70.6,261,19.2,-0.7,8.8,18847519,2.46,6.9,4.06
Jordan,jordan,Middle East,0.25,22.2,2.7,3.5,3.2,13.2,76.5,41,25.0,-10.9,35.5,11174024,0.78,34.8,2.87
Djibouti,djibouti,Africa,0.21,21.8,16.2,7.0,3.6,45.2,65.9,234,26.3,4.2,13.5,994974,1.89,,2.11
Comoros,comoros,Africa,0.18,21.6,,6.4,2.6,54.9,67.8,217,22.7,-2.2,7.8,900141,1.3,20.3,2.61
Iraq,iraq,Middle East,0.16,23.7,3.9,3.9,4.7,18.7,73.7,76,22.4,0.0,30.4,42083436,1.99,18.5,3.1
Egypt,egypt,Africa,0.14,19.5,7.0,4.3,2.5,16.8,75.0,17,24.4,-0.3,32.0,111247248,1.49,24.3,2.65
Syria,syria,Middle East,0.13,21.7,,4.0,,15.1,74.8,30,24.1,-1.1,27.8,23865423,1.67,,2.69
Niger,niger,Africa,0.11,46.6,34.6,9.5,3.8,64.3,60.9,441,15.2,-0.6,5.5,26342784,3.66,7.4,6.64
Indonesia,indonesia,East and Southeast Asia,0.08,14.8,17.7,6.8,3.5,18.9,73.6,173,31.5,-0.7,6.9,281562465,0.73,37.6,1.96
Bhutan,bhutan,South Asia,0.07,15.3,,5.9,7.0,24.3,73.7,60,30.7,0.0,6.4,884546,0.95,,1.76
Pakistan,pakistan,South Asia,0.04,25.5,23.1,5.9,2.4,51.5,70.3,154,22.9,-1.1,8.6,252363571,1.86,20.2,3.32
Iran,iran,Middle East,0.02,14.3,4.3,5.3,3.6,14.3,75.6,22,33.8,-0.3,25.8,88386937,0.88,13.6,1.91
Yemen,yemen,Middle East,0.02,23.4,39.9,5.5,,44.6,68.2,183,22.0,-0.2,17.1,32140443,1.78,20.3,2.82
Afghanistan,afghanistan,South Asia,0.01,34.2,19.1,11.8,2.9,101.3,54.4,620,20.0,-0.1,5.5,40121552,2.22,23.3,4.43
Libya,libya,Africa,0.01,20.3,11.7,3.5,,10.7,77.7,72,26.2,-2.5,32.5,7361263,1.44,,3.0
Saudi Arabia,saudi-arabia,Middle East,0.0,13.6,3.5,3.5,7.8,11.7,77.2,16,32.4,6.7,35.4,36544431,1.68,14.3,1.87
Mauritania,mauritania,Africa,0.0,27.2,22.4,7.2,1.9,48.9,65.9,465,22.1,-0.7,12.7,4328040,1.92,10.7,3.4
Bangladesh,bangladesh,South Asia,0.0,17.3,22.6,5.5,2.1,28.8,75.2,123,29.6,-2.9,3.6,168697184,0.89,34.7,2.07
Somalia,somalia,Africa,0.0,37.4,,11.2,0.3,83.6,56.5,621,19.1,-0.7,8.3,13017273,2.55,,5.12
Kuwait,kuwait,Middle East,0.0,17.5,2.5,2.3,6.6,7.2,79.6,7,30.3,-4.2,37.9,3138355,1.1,17.9,2.21
South Sudan,south-sudan,Africa,,36.4,,8.9,1.5,60.1,60.3,1223,18.7,19.1,6.6,12703714,4.65,,5.09
West Bank,west-bank,Middle East,,27.8,2.1,3.3,5.3,15.1,76.5,20,21.9,-3.8,,3243369,2.07,,3.49
